sampleId	Site
F01	F
F02	F
F03	F
F04	F
F05	F
F06	F
H2_1	H2
H2_2	H2
H2_3	H2
H2_4	H2
H2_5	H2
H2_6	H2
I1_1	I1
I1_2	I1
I1_3	I1
I1_4	I1
I1_5	I1
I1_6	I1
B01	B
B02	B
B03	B
B04	B
B05	B
B06	B
B07	B
B08	B
B09	B
B10	B
B11	B
B12	B
B13	B
B14	B
B15	B
B16	B
B17	B
B18	B
B19	B
B20	B
B21	B
B22	B
B23	B
B24	B
B25	B
E01	E
E02	E
E03	E
E04	E
E05	E
E06	E
E07	E
E08	E
E09	E
E10	E
E11	E
E12	E
E13	E
E14	E
E15	E
E16	E
E17	E
E18	E
E19	E
E20	E
E21	E
E22	E
E23	E
E24	E
E25	E
N01	N
N02	N
N03	N
N04	N
N05	N
N06	N
N07	N
N08	N
N09	N
N10	N
N11	N
N12	N
N13	N
N14	N
N15	N
N16	N
N17	N
N18	N
N19	N
N20	N
D01	D
D02	D
D03	D
D04	D
D05	D
D06	D
D07	D
D08	D
D09	D
D10	D
D11	D
D12	D
D13	D
D14	D
D15	D
D16	D
D17	D
D18	D
D19	D
D20	D
D21	D
D22	D
D23	D
D24	D
D25	D
D26	D
