	B01	B02	B03	B04	B05	B06	B07	B08	B09	B10	B11	B12	B13	B14	B15	B16	B18	B19	B20	B21	B22	B23	B24	B25	D01	D02	D03	D04	D05	D07	D08	D09	D10	D11	D12	D13	D14	D15	D16	D17	D18	D19	D20	D22	D23	E01	E02	E03	E04	E05	E06	E07	E08	E09	E10	E11	E12	E13	E14	E15	E16	E17	E18	E19	E20	E21	E22	E23	E24	E25	F01	F02	F03	F04	F05	F06	H2_1	H2_2	H2_3	H2_4	H2_5	H2_6	I1_1	I1_2	I1_3	I1_4	I1_5	I1_6	N01	N02	N03	N04	N05	N06	N07	N08	N09	N10	N11	N12	N13	N14	N15	N16	N18	N19	N20
B01	0.0	0.5162295507660348	0.6521682679823423	0.7044923396520384	0.76772266943651	0.8103090106465853	0.789665022072189	0.856790444040509	0.8769150869903921	0.8679563749675409	0.8789924694884446	0.910932225396001	0.9228771747598027	0.8971695663464035	0.896909893534147	0.8860036354193715	0.9036613866528175	0.8782134510516749	0.8845754349519606	0.9402752531809919	0.9031420410283043	0.9331342508439366	0.9733835367437029	0.9728641911191899	0.653466632043625	0.6709945468709426	0.7547390288236822	0.7942092962866788	0.7869384575434952	0.8804206699558557	0.8396520384315762	0.7968060244092443	0.8954816930667359	0.9135289535185666	0.9037912230589458	0.8344585821864451	0.8612048818488705	0.9198909374188522	0.9284601402233186	0.9224876655414178	0.9192417553882108	0.9128797714879252	0.9228771747598027	0.9161256816411322	0.9476759283303038	0.4868865229810439	0.5776421708647105	0.6469748117372112	0.738379641651519	0.7736951441184108	0.743443261490522	0.804596208776941	0.8274474162555181	0.891326928070631	0.8892495455725785	0.8870423266683978	0.9522202025447936	0.9563749675408985	0.9468969098935341	0.9444300181770968	0.9093741885224617	0.9180732277330563	0.8972994027525318	0.9241755388210854	0.8892495455725785	0.8770449233965204	0.9609192417553882	0.9641651519085952	0.9483251103609452	0.9280706310049338	0.5998441963126461	0.841859257335757	0.9283303038171904	0.9089846793040769	0.9463775642690211	0.9580628408205661	0.7061802129317061	0.845624513113477	0.917943391326928	0.9335237600623215	0.9632562970656973	0.9694884445598546	0.6920280446637237	0.8544533887301999	0.8953518566606077	0.9140482991430797	0.9137886263308231	0.9035315502466892	0.5312905738769151	0.6015320695923136	0.6471046481433393	0.7470786808621137	0.8249805245390808	0.8556219163853545	0.855881589197611	0.8726304855881589	0.9050895871202285	0.9320955595949104	0.8935341469748117	0.7488963905479097	0.7287717475980264	0.957543495196053	0.851207478576993	0.9037912230589458	0.9480654375486887	0.9348221241236042	0.9050895871202285
B02	0.5162295507660348	0.0	0.3431576213970397	0.4176837185146715	0.47805764736432094	0.6041287977148793	0.6560633601661906	0.7342248766554141	0.862892755128538	0.8238119968839263	0.8534146974811737	0.9047000779018437	0.9262529213191378	0.8917164372890158	0.8944430018177096	0.87405868605557	0.910932225396001	0.8375746559335238	0.890418073227733	0.950532329265126	0.9146974811737211	0.945468709426123	0.9815632303297844	0.9851986497013763	0.3613347182549987	0.38210854323552323	0.4626071150350558	0.5286938457543495	0.5924435211633342	0.8404310568683458	0.7357829135289535	0.6202285120747858	0.8831472344845495	0.899766294468969	0.8783432874578032	0.8001817709685796	0.8439366398338094	0.9157361724227473	0.9283303038171904	0.9275512853804206	0.9280706310049338	0.9175538821085433	0.930537522721371	0.92910932225396	0.9589716956634641	0.33225136328226434	0.29680602440924436	0.34549467670734874	0.45118151129576733	0.5379122305894573	0.5498571799532589	0.6652817450012983	0.7958971695663464	0.8679563749675409	0.8702934302778499	0.8789924694884446	0.9514411841080239	0.9576733316021813	0.9488444559854583	0.9484549467670735	0.9135289535185666	0.9201506102311088	0.9021033497792781	0.9302778499091146	0.8998961308750973	0.859127499350818	0.9700077901843677	0.9727343547130616	0.9568943131654116	0.9341729420929629	0.3451051674889639	0.7675928330303817	0.9269021033497793	0.9101532069592314	0.9489742923915866	0.9601402233186186	0.45157102051415215	0.7930407686315243	0.915086990392106	0.9409244352116334	0.9746819008049857	0.9822124123604259	0.42170864710464817	0.8282264346922877	0.9009348221241236	0.9250843936639834	0.9243053752272137	0.9019735133731498	0.3062840820566087	0.3108283562710984	0.3474422227992729	0.5096078940534926	0.6060763438068034	0.7701895611529472	0.7955076603479616	0.8113477018956116	0.8943131654115815	0.9409244352116334	0.8978187483770449	0.7647364320955596	0.7169566346403532	0.9675408984679305	0.8491300960789405	0.9050895871202285	0.9574136587899247	0.9462477278628928	0.9117112438327707
B03	0.6521682679823423	0.3431576213970397	0.0	0.28719813035575176	0.391326928070631	0.5294728641911192	0.6463256297065697	0.700986756686575	0.8678265385614127	0.8270579070371332	0.8536743702934303	0.9040508958712022	0.9311867047520125	0.8957413658789924	0.8937938197870683	0.8830173980784212	0.9245650480394703	0.8413399117112438	0.9092443521163334	0.9576733316021813	0.9240457024149572	0.9583225136328226	0.9845494676707349	0.9888340690729681	0.28784731238639316	0.3168008309529992	0.3079719553362763	0.4084653336795637	0.5053232926512594	0.8495196052973254	0.7350038950921839	0.5899766294468969	0.883406907296806	0.8937938197870683	0.8741885224616983	0.7966761880031161	0.837704492339652	0.9172942092962867	0.9292391586600883	0.9315762139703972	0.9313165411581408	0.9207997922617502	0.9378083614645547	0.936120488184887	0.9649441703453648	0.42949883147234486	0.31913788626330825	0.298493897688912	0.3277070890677746	0.4872760321994287	0.5255777720072708	0.6599584523500389	0.8184887042326668	0.8656193196572319	0.8654894832511036	0.8822383796416515	0.9500129836406128	0.9594910412879771	0.951960529732537	0.9562451311347702	0.9193715917943391	0.924435211633342	0.9123604258634121	0.9431316541158141	0.9115814074266424	0.8741885224616983	0.9749415736172423	0.9766294468969099	0.9641651519085952	0.9423526356790444	0.3288756167229291	0.7639574136587899	0.9304076863152428	0.9137886263308231	0.9536484030122047	0.96455466112698	0.3896390547909634	0.790573876915087	0.9210594650740067	0.9446896909893534	0.9789665022072189	0.9851986497013763	0.31407426642430536	0.8278369254739029	0.9056089327447416	0.9302778499091146	0.92910932225396	0.9037912230589458	0.36055569981822905	0.31719034017138403	0.27395481693066737	0.39755907556478837	0.5272656452869384	0.7620098675668657	0.8077122825240197	0.8103090106465853	0.892235782913529	0.9491041287977149	0.9032718774344326	0.8042066995585562	0.7631783952220202	0.9731238639314463	0.8630225915346663	0.905349259932485	0.9624772786289275	0.9459880550506362	0.9124902622695403
B04	0.7044923396520384	0.4176837185146715	0.28719813035575176	0.0	0.32861594391067256	0.485068813295248	0.6113996364580628	0.6696961828096598	0.8436769670215528	0.7921319137886264	0.823682160477798	0.8858737990132434	0.9139184627369514	0.8793819787068294	0.8830173980784212	0.8770449233965204	0.9213191378862633	0.8410802388989873	0.9022331861854064	0.956634640353155	0.9256037392884965	0.9584523500389509	0.9855881589197611	0.9894832511036095	0.3482212412360426	0.3027784990911452	0.29148273175798495	0.3817190340171384	0.47922617501947545	0.8234224876655414	0.6994287198130356	0.5505063619839002	0.8640612827836925	0.87405868605557	0.8582186445079201	0.789665022072189	0.8290054531290574	0.9071669696182809	0.9139184627369514	0.9163853544533888	0.9294988314723448	0.9139184627369514	0.9378083614645547	0.9352116333419891	0.9644248247208518	0.5019475460919242	0.362892755128538	0.2973253700337575	0.2738249805245391	0.44572838223837963	0.4741625551804726	0.6084133991171125	0.7822643469228772	0.8323811996883926	0.8313425084393664	0.859127499350818	0.9385873799013243	0.9467670734874059	0.9379381978706829	0.9418332900545313	0.9209296286678784	0.9115814074266424	0.9148273175798494	0.9409244352116334	0.9089846793040769	0.8730199948065438	0.9763697740846533	0.9779278109581927	0.9640353155024669	0.942612308491301	0.3428979485847832	0.740197351337315	0.9180732277330563	0.9101532069592314	0.9531290573876915	0.963126460659569	0.3440664762399377	0.7581147753830174	0.903012204622176	0.9462477278628928	0.9803947026746299	0.9867566865749156	0.27836925473902885	0.7964165151908595	0.891326928070631	0.9298883406907297	0.9297585042846014	0.9049597507141003	0.43248506881329524	0.3863931446377564	0.2799272916125682	0.3676967021552843	0.481822903142041	0.7368216047779798	0.777979745520644	0.7916125681641132	0.8786029602700597	0.9465074006751493	0.903012204622176	0.8249805245390808	0.7768112178654895	0.9727343547130616	0.8617242274733835	0.9039210594650741	0.9627369514411841	0.9478057647364321	0.911841080238899
B05	0.76772266943651	0.47805764736432094	0.391326928070631	0.32861594391067256	0.0	0.37977148792521426	0.5418073227733057	0.6008828875616723	0.8039470267462997	0.7475980264866269	0.7808361464554661	0.8525058426382758	0.8875616722929109	0.8517268242015061	0.8737990132433134	0.8712022851207478	0.9113217346143859	0.8258893793819787	0.8995066216567126	0.9527395481693067	0.9210594650740067	0.9546870942612309	0.9840301220462218	0.9872760321994287	0.44637756426902103	0.3697740846533368	0.31965723188782136	0.2796676188003116	0.42521423007011167	0.7579849389768891	0.6485328486107504	0.5042846014022332	0.8279667618800312	0.8326408725006492	0.8252401973513374	0.7569462477278629	0.7930407686315243	0.9006751493118671	0.8900285640093483	0.8980784211893015	0.921189301480135	0.9072968060244092	0.9333939236561932	0.9326149052194235	0.9601402233186186	0.5762139703972994	0.467800571280187	0.4074266424305375	0.33290054531290575	0.36445079200207736	0.3987276032199429	0.5371332121526876	0.722929109322254	0.7881069851986497	0.7799272916125681	0.8205660867307193	0.90950402492859	0.9153466632043625	0.911841080238899	0.9232666839781875	0.9096338613347182	0.8958712022851207	0.9076863152427941	0.9378083614645547	0.8996364580628409	0.8714619579330044	0.9744222279927292	0.976239937678525	0.9623474422227992	0.9414437808361464	0.385743962607115	0.6715138924954557	0.8919761101012724	0.9089846793040769	0.9509218384835108	0.9642949883147235	0.3208257595429759	0.6990392105946508	0.8727603219942872	0.9394962347442223	0.9779278109581927	0.9848091404829914	0.33290054531290575	0.7522721371072448	0.8865229810438847	0.9282004674110621	0.9241755388210854	0.9021033497792781	0.5297325370033757	0.47052713580888084	0.3753570501168528	0.3173201765775123	0.38210854323552323	0.67346143858738	0.729031420410283	0.7364320955595949	0.8400415476499611	0.9367696702155285	0.8985977668138146	0.8308231628148532	0.7970656972215009	0.9709166450272656	0.8669176837185146	0.8985977668138146	0.9589716956634641	0.9478057647364321	0.9079459880550507
B06	0.8103090106465853	0.6041287977148793	0.5294728641911192	0.485068813295248	0.37977148792521426	0.0	0.4754609192417554	0.5103869124902622	0.7374707868086211	0.6686574915606336	0.7131913788626331	0.8106985198649701	0.8532848610750454	0.823682160477798	0.8486107504544275	0.857309789665022	0.9083354972734354	0.8227733056349	0.901584004154765	0.9420929628667879	0.9198909374188522	0.9529992209815632	0.9788366658010906	0.9842897948584783	0.5679044404050896	0.4955855621916385	0.4723448454946767	0.3656193196572319	0.4135289535185666	0.6826798234224877	0.5777720072708388	0.4537782394183329	0.7646065956894313	0.7708387431835887	0.7618800311607374	0.7086471046481433	0.7491560633601662	0.8828875616722929	0.866138665281745	0.8775642690210335	0.8988574396260711	0.8941833290054532	0.9189820825759543	0.9252142300701116	0.9549467670734874	0.676317839522202	0.5750454427421449	0.536354193715918	0.48896390547909635	0.39665022072189043	0.39587120228512074	0.47559075564788367	0.6589197611010127	0.7107244871461957	0.7105946507400676	0.7600623214749416	0.8673071929368995	0.87405868605557	0.8696442482472085	0.9037912230589458	0.8979485847831732	0.8715917943391327	0.8966502207218904	0.9336535964684497	0.9002856400934822	0.8712022851207478	0.9684497533108284	0.9684497533108284	0.9606595689431316	0.9379381978706829	0.5210334977927811	0.5973773045962087	0.8509478057647364	0.9023630225915347	0.9476759283303038	0.963126460659569	0.4161256816411322	0.6232147494157362	0.8399117112438328	0.9275512853804206	0.9726045183069333	0.9798753570501169	0.4488444559854583	0.6806024409244352	0.8631524279407946	0.9152168267982342	0.9148273175798494	0.8934043105686834	0.6223058945728382	0.5990651778758764	0.50376525577772	0.3940534925993249	0.40080498571799533	0.5967281225655674	0.670734874058686	0.6768371851467151	0.8016099714359907	0.9163853544533888	0.8811996883926253	0.8525058426382758	0.8269280706310049	0.9672812256556739	0.8761360685536225	0.8926252921319138	0.9498831472344845	0.9418332900545313	0.9056089327447416
B07	0.789665022072189	0.6560633601661906	0.6463256297065697	0.6113996364580628	0.5418073227733057	0.4754609192417554	0.0	0.4626071150350558	0.700077901843677	0.616593092703194	0.6554141781355493	0.795247987535705	0.8392625292131913	0.7971955336276292	0.8329005453129057	0.8414697481173721	0.89366398338094	0.8109581926772267	0.8800311607374708	0.9274214489742924	0.9014541677486367	0.9378083614645547	0.9745520643988574	0.9790963386133472	0.6554141781355493	0.6056868345884185	0.6272396780057128	0.5601142560373928	0.5276551545053233	0.69683199169047	0.5532329265125941	0.5128538042066996	0.7586341210075305	0.7582446117891457	0.7614905219423527	0.688911970916645	0.7327966761880031	0.8719813035575176	0.8600363541937159	0.8663983380940016	0.8860036354193715	0.8775642690210335	0.9067774603998962	0.9121007530511556	0.9439106725525838	0.6741106206180213	0.6280186964424824	0.6128278369254739	0.6058166709945468	0.5114256037392885	0.4954557257855103	0.5090885484289794	0.6317839522202026	0.6948844455985458	0.6946247727862893	0.7538301739807842	0.8641911191898208	0.8617242274733835	0.8574396260711503	0.8865229810438847	0.8896390547909634	0.8625032459101533	0.8815891976110102	0.9110620618021293	0.8776941054271618	0.8561412620098676	0.9618280965982862	0.9592313684757205	0.9435211633341989	0.9326149052194235	0.5985458322513633	0.6054271617761621	0.8415995845235004	0.883406907296806	0.9365099974032719	0.9572838223837964	0.5364840301220463	0.6241236042586341	0.8123863931446378	0.9140482991430797	0.9665022072189042	0.9750714100233705	0.566216567125422	0.652038431576214	0.8430277849909115	0.9010646585302519	0.9052194235263568	0.8845754349519606	0.66515190859517	0.6604777979745521	0.6220462217605817	0.5703713321215269	0.542456504803947	0.5945209036613867	0.65762139703973	0.6859257335756946	0.7782394183329006	0.8974292391586601	0.8608153726304856	0.8138145936120488	0.7926512594131394	0.9594910412879771	0.8600363541937159	0.8878213451051675	0.9432614905219423	0.9365099974032719	0.8944430018177096
B08	0.856790444040509	0.7342248766554141	0.700986756686575	0.6696961828096598	0.6008828875616723	0.5103869124902622	0.4626071150350558	0.0	0.6844975331082835	0.5777720072708388	0.6670994546870943	0.7903142041028305	0.8451051674889639	0.8145936120488185	0.8415995845235004	0.8531550246689171	0.9008049857179953	0.8149831212672033	0.8966502207218904	0.9378083614645547	0.9148273175798494	0.94494936380161	0.9732537003375746	0.9779278109581927	0.7161776162035834	0.6686574915606336	0.6803427681121786	0.609581926772267	0.5716696961828096	0.6423007011165931	0.5821864450792003	0.5503765255777721	0.7517527914827318	0.7233186185406388	0.7473383536743703	0.7181251622955077	0.7352635679044404	0.8789924694884446	0.855881589197611	0.8660088288756167	0.8932744741625552	0.8826278888600364	0.9133991171124384	0.9152168267982342	0.9491041287977149	0.7457803168008309	0.7041028304336536	0.684237860296027	0.6641132173461438	0.5672552583744482	0.5338873019994806	0.485068813295248	0.6615164892235783	0.6667099454687094	0.6857958971695663	0.7512334458582186	0.8586081537263048	0.8640612827836925	0.8553622435730979	0.8911970916645027	0.8958712022851207	0.8584783173201765	0.8906777460399896	0.9245650480394703	0.8941833290054532	0.8688652298104389	0.9611789145676448	0.9649441703453648	0.9536484030122047	0.9343027784990912	0.670215528434173	0.5995845235003895	0.8454946767073488	0.899246948844456	0.94494936380161	0.9600103869124903	0.6027005972474682	0.613347182549987	0.8123863931446378	0.9170345364840301	0.9652038431576214	0.972474681900805	0.6271098415995845	0.6559335237600623	0.850298623734095	0.9089846793040769	0.9097636977408465	0.8849649441703453	0.7287717475980264	0.7205920540119449	0.688392625292132	0.6167229291093222	0.5646585302518826	0.5782913528953518	0.6606076343806804	0.6658010906258115	0.7874578031680083	0.9079459880550507	0.875486886522981	0.8665281745001299	0.8488704232666839	0.9589716956634641	0.8780836146455466	0.8884705271358089	0.9401454167748636	0.9353414697481174	0.9011944949363802
B09	0.8769150869903921	0.862892755128538	0.8678265385614127	0.8436769670215528	0.8039470267462997	0.7374707868086211	0.700077901843677	0.6844975331082835	0.0	0.5906258114775383	0.5375227213710725	0.7296806024409245	0.7698000519345625	0.7760321994287198	0.8122565567385095	0.84237860296027	0.8679563749675409	0.8837964165151908	0.8757465593352376	0.8856141262009868	0.8918462736951441	0.9271617761620359	0.9666320436250324	0.9726045183069333	0.8713321215268761	0.8352376006232147	0.8495196052973254	0.7965463515969878	0.7870682939496235	0.6730719293689951	0.6585302518826279	0.7248766554141781	0.6193196572318879	0.6633341989093742	0.6886522981043884	0.695923136847572	0.6930667359127499	0.8501687873279667	0.8142041028304337	0.8129057387691508	0.8606855362243573	0.8566606076343807	0.8671773565307712	0.8932744741625552	0.9310568683458842	0.8662685016878733	0.8525058426382758	0.8509478057647364	0.8399117112438328	0.7695403791223059	0.7611010127239678	0.7137107244871462	0.6237340950402492	0.6185406387951181	0.6155544014541677	0.6574915606336017	0.741106206180213	0.7665541417813555	0.7792781095819268	0.8248506881329525	0.8667878473123863	0.8190080498571799	0.8571799532588938	0.8776941054271618	0.8612048818488705	0.8861334718254998	0.9498831472344845	0.9376785250584264	0.9353414697481174	0.9284601402233186	0.8271877434432615	0.6802129317060503	0.7575954297585042	0.871721630745261	0.9307971955336276	0.9587120228512075	0.763048558815892	0.6310049337834329	0.7130615424565048	0.871721630745261	0.9532588937938198	0.9637756426902103	0.8068034276811218	0.6237340950402492	0.8051155544014542	0.8854842897948585	0.905349259932485	0.8949623474422228	0.8617242274733835	0.8658789924694884	0.8584783173201765	0.8121267203323812	0.7729161256816411	0.6935860815372631	0.6435990651778759	0.6887821345105167	0.7374707868086211	0.8339392365619319	0.8144637756426902	0.8308231628148532	0.8666580109062582	0.9405349259932485	0.8871721630745261	0.9047000779018437	0.9261230849130097	0.9167748636717735	0.9004154764996105
B10	0.8679563749675409	0.8238119968839263	0.8270579070371332	0.7921319137886264	0.7475980264866269	0.6686574915606336	0.616593092703194	0.5777720072708388	0.5906258114775383	0.0	0.5031160737470787	0.6817709685795897	0.7543495196052973	0.7191638535445339	0.78732796676188	0.7947286419111919	0.860555699818229	0.817190340171384	0.8597766813814594	0.9057387691508699	0.8911970916645027	0.924435211633342	0.9637756426902103	0.9689690989353414	0.8296546351596987	0.7910932225396001	0.8018696442482472	0.7466891716437289	0.7338353674370294	0.6642430537522721	0.5775123344585822	0.6587899246948844	0.6704752012464295	0.6037392884964944	0.6630745260971176	0.6743702934302779	0.6582705790703713	0.8364061282783692	0.7816151648922358	0.801739807842119	0.8399117112438328	0.8339392365619319	0.8821085432355232	0.8837964165151908	0.9287198130355752	0.8256297065697221	0.8196572318878214	0.7908335497273435	0.7855102570760841	0.709426123084913	0.6946247727862893	0.6450272656452869	0.6391846273695144	0.5967281225655674	0.5893274474162555	0.6416515190859517	0.7752531809919502	0.7796676188003117	0.7666839781874838	0.8347182549987017	0.8562710984159958	0.8064139184627369	0.8697740846533368	0.8906777460399896	0.8640612827836925	0.8549727343547131	0.950532329265126	0.951051674889639	0.9392365619319657	0.9226175019475461	0.7807063100493379	0.6239937678525058	0.7920020773824981	0.8647104648143339	0.9270319397559076	0.9533887301999481	0.7253960010386913	0.5827057907037133	0.7115035055829655	0.8760062321474942	0.9524798753570501	0.963645806284082	0.7543495196052973	0.5563490002596728	0.7899246948844456	0.869384575434952	0.8908075824461179	0.8732796676188003	0.8301739807842119	0.8284861075045443	0.8092703193975591	0.7646065956894313	0.71267203323812	0.6364580628408205	0.6304855881589198	0.6246429498831473	0.7202025447935602	0.8615943910672552	0.8345884185925734	0.8427681121786549	0.8286159439106725	0.9381978706829395	0.862892755128538	0.881069851986497	0.9248247208517268	0.9146974811737211	0.888081017917424
