Source,Target,Type,Id,Label,timeset,Weight,att1
1,195,Undirected,0,+,,0.740383,+
2,22,Undirected,1,+,,0.8042,+
2,72,Undirected,2,+,,0.825089,+
2,81,Undirected,3,+,,0.753686,+
2,94,Undirected,4,+,,0.831256,+
2,114,Undirected,5,+,,0.735566,+
2,137,Undirected,6,+,,0.721869,+
2,151,Undirected,7,+,,0.737422,+
2,155,Undirected,8,+,,0.85464,+
2,168,Undirected,9,+,,0.821213,+
2,200,Undirected,10,+,,0.812744,+
2,219,Undirected,11,+,,0.82698,+
2,223,Undirected,12,+,,0.762949,+
2,243,Undirected,13,+,,0.847707,+
2,262,Undirected,14,+,,0.76404,+
2,265,Undirected,15,+,,0.791297,+
2,268,Undirected,16,+,,0.869536,+
2,271,Undirected,17,+,,0.843889,+
2,276,Undirected,18,+,,0.733947,+
2,281,Undirected,19,+,,0.815194,+
2,289,Undirected,20,+,,0.877683,+
2,318,Undirected,21,+,,0.949453,+
2,321,Undirected,22,+,,0.739776,+
2,326,Undirected,23,+,,0.793216,+
2,330,Undirected,24,+,,0.922374,+
2,372,Undirected,25,+,,0.739641,+
2,381,Undirected,26,+,,0.780398,+
2,386,Undirected,27,+,,0.818125,+
2,404,Undirected,28,+,,0.803425,+
2,418,Undirected,29,+,,0.866272,+
2,437,Undirected,30,+,,0.846974,+
2,439,Undirected,31,+,,0.738897,+
2,461,Undirected,32,+,,0.927405,+
3,72,Undirected,33,+,,0.748205,+
3,265,Undirected,34,+,,0.742411,+
3,268,Undirected,35,+,,0.754053,+
3,439,Undirected,36,+,,0.769289,+
4,285,Undirected,37,+,,0.768119,+
4,470,Undirected,38,+,,0.72915,+
5,317,Undirected,39,+,,0.793898,+
5,434,Undirected,40,+,,0.761125,+
5,442,Undirected,41,+,,0.735777,+
6,26,Undirected,42,+,,0.725134,+
6,32,Undirected,43,+,,0.746311,+
6,36,Undirected,44,+,,0.87469,+
6,48,Undirected,45,+,,0.811077,+
6,55,Undirected,46,+,,0.805687,+
6,122,Undirected,47,+,,0.798931,+
6,135,Undirected,48,+,,0.76846,+
6,140,Undirected,49,+,,0.884339,+
6,146,Undirected,50,+,,0.871074,+
6,154,Undirected,51,+,,0.794673,+
6,181,Undirected,52,+,,0.799236,+
6,197,Undirected,53,+,,0.754995,+
6,208,Undirected,54,+,,0.845029,+
6,213,Undirected,55,+,,0.752037,+
6,217,Undirected,56,+,,0.787574,+
6,234,Undirected,57,+,,0.721372,+
6,293,Undirected,58,+,,0.749961,+
6,295,Undirected,59,+,,0.936679,+
6,332,Undirected,60,+,,0.7505,+
6,357,Undirected,61,+,,0.721565,+
6,361,Undirected,62,+,,0.841254,+
6,369,Undirected,63,+,,0.783518,+
6,370,Undirected,64,+,,0.780319,+
6,371,Undirected,65,+,,0.725759,+
6,390,Undirected,66,+,,0.893518,+
6,403,Undirected,67,+,,0.778553,+
6,405,Undirected,68,+,,0.843222,+
6,410,Undirected,69,+,,0.740068,+
6,421,Undirected,70,+,,0.800909,+
6,431,Undirected,71,+,,0.79122,+
6,438,Undirected,72,+,,0.78657,+
6,451,Undirected,73,+,,0.872917,+
6,455,Undirected,74,+,,0.744493,+
6,457,Undirected,75,+,,0.827198,+
7,228,Undirected,76,+,,0.739381,+
7,358,Undirected,77,+,,0.780556,+
7,459,Undirected,78,+,,0.769719,+
8,459,Undirected,79,+,,0.730687,+
9,26,Undirected,80,+,,0.866835,+
9,32,Undirected,81,+,,0.761376,+
9,35,Undirected,82,+,,0.788709,+
9,36,Undirected,83,+,,0.790724,+
9,122,Undirected,84,+,,0.809796,+
9,135,Undirected,85,+,,0.799027,+
9,140,Undirected,86,+,,0.757119,+
9,172,Undirected,87,+,,0.73355,+
