sampleId	Depth
F01	5
F02	10
F03	15
F04	15
F05	20
F06	25
H2_1	5
H2_2	10
H2_3	15
H2_4	20
H2_5	25
H2_6	30
I1_1	5
I1_2	10
I1_3	15
I1_4	20
I1_5	25
I1_6	30
B01	5
B02	5
B03	5
B04	5
B05	5
B06	10
B07	10
B08	10
B09	10
B10	10
B11	15
B12	15
B13	15
B14	15
B15	15
B16	20
B17	20
B18	20
B19	20
B20	20
B21	25
B22	25
B23	25
B24	25
B25	25
E01	5
E02	5
E03	5
E04	5
E05	5
E06	10
E07	10
E08	10
E09	10
E10	10
E11	15
E12	15
E13	15
E14	15
E15	15
E16	20
E17	20
E18	20
E19	20
E20	20
E21	25
E22	25
E23	25
E24	25
E25	25
N01	5
N02	5
N03	5
N04	5
N05	5
N06	10
N07	10
N08	10
N09	10
N10	10
N11	15
N12	15
N13	15
N14	15
N15	15
N16	20
N17	20
N18	20
N19	20
N20	20
D01	5
D02	5
D03	5
D04	5
D05	5
D06	10
D07	10
D08	10
D09	10
D10	10
D11	15
D12	15
D13	15
D14	15
D15	15
D16	20
D17	20
D18	20
D19	20
D20	20
D21	25
D22	25
D23	25
D24	25
D25	25
D26	25
