Genes	F01	F02	F03	F04	F05	F06	Pathways
AA10	0	0	0	0	1	1	Auxiliary activities
AA12	1	0	0	0	1	0	Auxiliary activities
AA15	29	14	11	9	13	18	Auxiliary activities
AA17	11	8	8	3	7	8	Auxiliary activities
AA1_2	3	3	4	1	0	1	Auxiliary activities
AA1_3	1	0	0	0	0	0	Auxiliary activities
AA2	4	2	0	1	0	1	Auxiliary activities
AA3	10	8	7	2	1	0	Auxiliary activities
AA3_1	1	0	0	0	1	0	Auxiliary activities
AA3_2	39	19	19	15	33	25	Auxiliary activities
AA3_3	1	0	0	0	0	0	Auxiliary activities
AA4	30	26	24	25	29	38	Auxiliary activities
AA5	2	0	4	0	6	8	Auxiliary activities
AA5_1	7	6	2	3	0	1	Auxiliary activities
AA7	5	4	3	2	3	1	Auxiliary activities
AA8	0	1	2	0	0	1	Auxiliary activities
CBM0	1	1	1	0	0	0	Carbohydrate-binding modules
CBM1	1	0	0	0	0	0	Carbohydrate-binding modules
CBM10	0	0	2	1	2	0	Carbohydrate-binding modules
CBM11	0	1	1	1	0	0	Carbohydrate-binding modules
CBM13	48	42	35	44	39	31	Carbohydrate-binding modules
CBM16	1	1	2	2	1	2	Carbohydrate-binding modules
CBM18	4	2	1	3	2	3	Carbohydrate-binding modules
CBM2	24	18	15	17	22	10	Carbohydrate-binding modules
CBM20	23	19	19	18	15	13	Carbohydrate-binding modules
CBM22	0	1	0	1	0	0	Carbohydrate-binding modules
CBM23	0	0	0	0	0	0	Carbohydrate-binding modules
CBM25	0	0	0	0	1	0	Carbohydrate-binding modules
CBM27	0	0	0	0	0	0	Carbohydrate-binding modules
CBM3	3	3	3	3	4	5	Carbohydrate-binding modules
CBM31	0	0	0	0	0	1	Carbohydrate-binding modules
CBM32	1	2	5	7	12	8	Carbohydrate-binding modules
CBM34	0	0	1	3	2	1	Carbohydrate-binding modules
CBM35	0	0	1	11	8	3	Carbohydrate-binding modules
CBM38	9	11	15	12	7	9	Carbohydrate-binding modules
CBM4	1	2	1	3	2	0	Carbohydrate-binding modules
CBM40	0	0	0	0	0	2	Carbohydrate-binding modules
CBM41	9	5	8	11	11	6	Carbohydrate-binding modules
CBM42	2	3	1	1	3	0	Carbohydrate-binding modules
CBM47	18	17	10	28	18	26	Carbohydrate-binding modules
CBM48	20	19	24	26	24	26	Carbohydrate-binding modules
CBM5	0	0	0	1	1	1	Carbohydrate-binding modules
CBM50	21	14	20	22	21	27	Carbohydrate-binding modules
CBM51	17	24	22	38	28	23	Carbohydrate-binding modules
CBM54	1	0	0	0	0	0	Carbohydrate-binding modules
CBM56	1	1	1	0	0	0	Carbohydrate-binding modules
CBM57	13	11	10	35	22	16	Carbohydrate-binding modules
CBM6	32	22	18	23	16	17	Carbohydrate-binding modules
CBM62	3	0	0	0	0	0	Carbohydrate-binding modules
CBM64	0	0	0	1	0	0	Carbohydrate-binding modules
CBM66	9	9	10	19	15	11	Carbohydrate-binding modules
CBM67	0	1	0	2	1	0	Carbohydrate-binding modules
CBM70	0	0	0	0	0	0	Carbohydrate-binding modules
CBM73	5	5	5	5	2	0	Carbohydrate-binding modules
CBM88	0	0	0	2	1	1	Carbohydrate-binding modules
CBM9	5	3	8	2	3	4	Carbohydrate-binding modules
CE0	5	2	3	7	6	3	Carbohydrate esterase
CE1	7	1	2	2	3	1	Carbohydrate esterase
CE11	56	89	81	63	60	63	Carbohydrate esterase
CE12	2	1	0	0	0	1	Carbohydrate esterase
CE15	1	1	0	0	1	0	Carbohydrate esterase
CE16	0	0	0	0	0	0	Carbohydrate esterase
CE3	2	2	1	1	1	2	Carbohydrate esterase
CE4	2	2	3	3	6	8	Carbohydrate esterase
CE5	0	0	0	1	0	0	Carbohydrate esterase
CE6	3	4	2	3	2	6	Carbohydrate esterase
CE7	4	3	2	2	5	6	Carbohydrate esterase
CE8	145	135	112	124	166	153	Carbohydrate esterase
GH0	1	2	2	0	3	2	Glycoside hydrolases
GH1	1	1	1	2	2	10	Glycoside hydrolases
GH10	7	3	11	25	13	9	Glycoside hydrolases
GH100	41	39	24	38	29	41	Glycoside hydrolases
GH102	4	2	3	3	4	6	Glycoside hydrolases
GH103	37	28	27	20	19	26	Glycoside hydrolases
GH104	14	9	8	3	4	9	Glycoside hydrolases
GH105	7	4	6	7	20	38	Glycoside hydrolases
GH106	0	0	0	3	4	3	Glycoside hydrolases
GH108	1	1	6	5	0	0	Glycoside hydrolases
GH109	12	8	14	18	32	38	Glycoside hydrolases
GH11	0	1	0	0	0	2	Glycoside hydrolases
GH110	0	0	0	0	1	1	Glycoside hydrolases
GH113	0	1	0	2	4	1	Glycoside hydrolases
GH114	4	7	9	6	3	1	Glycoside hydrolases
GH115	10	4	1	3	7	2	Glycoside hydrolases
GH116	0	1	0	0	3	3	Glycoside hydrolases
GH117	0	0	0	0	0	0	Glycoside hydrolases
GH120	0	0	0	1	1	1	Glycoside hydrolases
GH123	0	0	0	0	0	1	Glycoside hydrolases
GH125	0	1	0	0	0	0	Glycoside hydrolases
GH126	2	3	0	5	1	4	Glycoside hydrolases
GH128	6	7	3	8	11	14	Glycoside hydrolases
GH129	0	0	0	0	1	0	Glycoside hydrolases
GH13	78	70	51	95	94	85	Glycoside hydrolases
