Gene	F01	F02	F03	F04	F05	F06	Annotation	Pathway
acdA	97	79	84	97	108	124	Acetate---CoA ligase (ADP-forming)	Aceticlastic methanogenesis
acdB	11	10	9	5	2	4	Acetate---CoA ligase (ADP-forming)	Aceticlastic methanogenesis
ackA	14	9	7	5	11	10	Acetate kinase	Aceticlastic methanogenesis
acs	71	52	56	49	52	57	Acetyl-CoA synthetase	Aceticlastic methanogenesis
acsC	0	1	3	5	13	21	Acetyl-CoA decarbonylase/synthase complex	Aceticlastic methanogenesis
acsD	5	7	9	8	28	30	Acetyl-CoA decarbonylase/synthase complex	Aceticlastic methanogenesis
cdhA	0	0	0	3	2	2	Anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex	Aceticlastic methanogenesis
cdhB	0	0	0	0	3	1	Anaerobic carbon-monoxide dehydrogenase, CODH/ACS complex	Aceticlastic methanogenesis
cdhC	0	1	1	13	7	18	Acetyl-CoA decarbonylase/synthase, CODH/ACS complex	Aceticlastic methanogenesis
cdhD	0	0	0	2	3	3	Acetyl-CoA decarbonylase/synthase, CODH/ACS complex	Aceticlastic methanogenesis
cdhE	0	0	0	7	6	10	Acetyl-CoA decarbonylase/synthase, CODH/ACS complex	Aceticlastic methanogenesis
cooF	9	8	11	16	20	20	Anaerobic carbon-monoxide dehydrogenase	Aceticlastic methanogenesis
cooS	0	2	4	8	16	18	Anaerobic carbon-monoxide dehydrogenase	Aceticlastic methanogenesis
pta	33	32	37	28	30	36	Phosphate acetyltransferase	Aceticlastic methanogenesis
cytC	0	0	0	0	1	1	Multiheme c-type cytochrome	Anaerobic oxidation of methane (AOM)
fmdC	1	0	0	0	2	2	Molybdenum containing formylmethanofuran dehydrogenase	Anaerobic oxidation of methane (AOM)
fpoA	7	4	8	12	3	8	F420H2 dehydrogenase	Anaerobic oxidation of methane (AOM)
fpoB	19	10	16	14	20	21	F420H2 dehydrogenase	Anaerobic oxidation of methane (AOM)
fpoC	14	9	15	6	8	8	F420H2 dehydrogenase	Anaerobic oxidation of methane (AOM)
fpoD	4	12	7	8	3	4	F420H2 dehydrogenase	Anaerobic oxidation of methane (AOM)
fpoF	0	0	0	0	1	0	F420H2 dehydrogenase	Anaerobic oxidation of methane (AOM)
fpoH	12	6	10	8	15	16	F420H2 dehydrogenase	Anaerobic oxidation of methane (AOM)
fpoI	0	0	1	0	1	0	F420H2 dehydrogenase	Anaerobic oxidation of methane (AOM)
fpoJ	9	9	9	14	11	8	F420H2 dehydrogenase	Anaerobic oxidation of methane (AOM)
fpoK	11	9	9	12	6	5	F420H2 dehydrogenase	Anaerobic oxidation of methane (AOM)
fpoL	14	11	11	11	11	16	F420H2 dehydrogenase	Anaerobic oxidation of methane (AOM)
fpoM	13	7	6	14	11	7	F420H2 dehydrogenase	Anaerobic oxidation of methane (AOM)
fpoN	13	14	10	9	11	13	F420H2 dehydrogenase	Anaerobic oxidation of methane (AOM)
