#random sampling: 42996
Gene	F06	F04	F03	F05	F01	F02
acdA	124	97	84	108	97	79
acdB	4	5	9	2	11	10
ackA	10	5	7	11	14	9
acs	57	49	56	52	71	52
acsC	21	5	3	13	0	1
acsD	30	8	9	28	5	7
amoA	0	0	0	0	1	0
amoB	4	0	0	0	0	0
apgM	27	11	2	14	8	5
cdhA	2	3	0	2	0	0
cdhB	1	0	0	3	0	0
cdhC	18	13	1	7	0	1
cdhD	3	2	0	3	0	0
cdhE	10	7	0	6	0	0
cooF	20	16	11	20	9	8
cooS	18	8	4	16	0	2
cytC	1	0	0	1	0	0
dcmA	0	0	0	0	1	1
dcmR	0	0	0	0	0	0
dfrA1	1	0	0	0	0	0
echA	0	0	0	1	1	0
echB	2	0	2	0	0	1
echC	1	0	0	0	0	0
echE	4	0	0	2	0	0
ehaQ	1	0	0	0	0	0
ehaR	2	0	0	2	0	0
ehbA	2	1	3	3	4	4
ehbB	0	1	1	1	1	1
ehbC	4	2	1	1	4	2
ehbD	1	0	0	0	0	0
ehbE	2	3	3	3	7	4
ehbF	1	0	0	0	0	0
ehbH	6	6	3	5	10	4
ehbI	6	0	0	3	0	0
ehbK	0	0	0	1	0	0
ehbQ	1	0	0	1	0	0
eno	38	27	22	40	26	27
fae	2	1	1	1	1	1
fae-hps	5	1	2	2	3	3
fbaA	35	13	12	34	16	14
fbaB	3	0	2	1	2	2
fbp	13	3	6	9	7	5
fchA	11	8	3	5	2	3
fdhA	53	26	13	49	18	26
fdhA-K00148	38	17	14	23	16	11
fdhB	21	19	17	20	14	14
fdhF	13	10	10	8	5	9
fdm	10	7	1	6	1	0
fdoG	2	5	6	3	8	13
fdoH	12	9	4	16	2	4
fdoI	5	9	4	4	5	4
fdwB	7	11	14	11	11	15
fghA	1	0	3	1	4	1
fmdC	2	0	0	2	1	0
folA	57	58	60	54	80	64
fpoA	8	12	8	3	7	4
fpoB	21	14	16	20	19	10
fpoC	8	6	15	8	14	9
fpoD	4	8	7	3	4	12
fpoF	0	0	0	1	0	0
fpoH	16	8	10	15	12	6
fpoI	0	0	1	1	0	0
fpoJ	8	14	9	11	9	9
fpoK	5	12	9	6	11	9
fpoL	16	11	11	11	14	11
fpoM	7	14	6	11	13	7
fpoN	13	9	10	11	13	14
fqoD	1	0	0	0	1	0
fqoH	0	0	0	0	0	0
frhA	4	0	0	2	0	0
frhB	9	4	1	5	0	1
frhD	12	2	1	6	0	1
frhG	1	1	0	2	0	0
frmA	25	17	29	21	41	31
ftr	3	3	2	3	2	1
fwdB	1	2	5	3	3	2
fwdC	3	2	1	1	0	0
fwdF	1	0	0	0	0	0
fwdG	4	2	0	1	0	0
gck	13	12	6	8	6	4
gfa	5	3	1	5	2	2
glpX	7	5	10	15	15	16
glyA	61	56	57	53	79	63
gpmB	25	9	7	14	21	10
gpmI	9	12	6	6	8	6
hdrA1	23	11	8	13	0	1
hdrA2	77	42	22	73	4	7
hdrB1	19	10	4	8	0	1
hdrB2	14	3	2	18	2	1
hdrC1	5	3	2	1	0	0
hdrC2	24	6	2	17	0	1
hdrD	38	28	18	46	4	15
hdrE	1	0	0	0	1	1
hmd	1	0	0	0	0	0
hprA	23	9	8	22	20	12
hxlA	3	1	4	2	1	4
hxlB	16	10	3	8	7	7
mauA	0	0	2	0	3	1
mauB	0	0	2	0	0	3
mauC	5	14	14	4	16	9
mauD	1	0	1	0	0	0
mauE	2	0	2	1	0	1
mbhJ	5	0	1	4	0	0
mbhK	2	0	0	2	0	0
mbhL	2	1	0	2	0	0
mch	4	9	2	2	1	1
mcl	20	18	21	22	23	19
mdh	35	15	5	25	17	8
mdh-K00024	26	16	19	24	27	21
mdo	0	0	0	0	0	1
mer	12	10	25	11	50	48
metF	7	6	16	6	19	18
mgdA	0	1	1	1	2	2
mgsA	2	3	4	2	8	4
mgsB	0	0	1	0	2	2
mgsC	6	6	12	7	18	16
mmoC	7	11	4	8	11	8
mtaA	19	14	5	18	3	3
mtaB	2	0	0	0	0	0
mtaC	2	0	0	0	0	0
mtbA	7	0	1	6	0	0
mtbB	12	9	2	19	0	0
mtbC	44	18	22	44	12	13
mtd	2	0	1	1	0	0
mtdB	0	4	2	0	2	2
mtkA	25	12	10	18	15	12
mtkB	41	15	14	30	25	20
mtmB	10	4	3	14	0	0
mtrA	2	1	0	2	0	0
mtrH	6	6	2	4	0	0
mtsA	2	1	0	1	0	0
mttB	56	41	12	63	6	5
mttC	19	12	5	14	1	2
mvhA	14	2	0	7	0	0
mvhD	42	17	3	39	1	1
mvhG	14	2	1	5	0	0
mxaC	0	4	2	3	1	1
mxaD	0	0	0	1	3	0
mxaF	1	8	9	1	23	13
mxaG	0	1	1	0	2	2
mxaL	0	0	2	0	3	1
napH	2	2	2	2	5	3
narB	19	11	15	23	17	26
narG	6	6	14	7	4	11
narH	2	15	17	9	13	16
narZ	2	4	1	1	1	1
nirK	4	15	9	6	17	13
nirS	1	0	2	1	6	3
nod	0	0	0	0	0	0
nrfA	1	1	2	1	3	2
nrfH	0	1	3	1	4	1
nxrA	0	3	4	5	6	7
pfkA	13	7	10	10	7	7
pfkB	27	11	8	12	5	5
pfp	41	25	26	31	35	32
porA	74	39	28	54	15	25
porB	38	20	18	30	10	12
porD	40	10	8	37	9	4
porG	58	18	11	35	3	5
ppc	2	1	5	1	6	8
pps	27	16	20	27	14	23
pqqA	5	2	1	3	2	2
pqqB	2	2	3	4	2	3
pqqC	2	1	2	1	6	2
pqqD	2	2	0	2	2	1
pqqE	31	33	29	29	21	21
pqqF	8	6	5	5	10	12
pta	36	28	37	30	33	32
rnfA	11	8	6	11	3	5
rnfB	56	39	31	53	15	22
rnfC	35	15	7	29	2	7
rnfD	14	10	9	9	4	3
rnfE	16	13	17	16	16	13
rnfG	12	10	7	12	4	7
serA	62	59	46	74	59	56
serB	28	18	28	26	25	26
serC	8	11	8	8	14	13
thrH	0	2	0	0	3	3
tmm	1	0	0	0	1	3
torA	11	11	3	6	12	6
torC	1	1	3	1	5	3
torD	3	1	3	2	0	3
torY	1	0	0	0	0	1
torZ	3	5	3	3	4	3
vhcA	1	0	1	2	0	1
vhcD	1	0	0	2	0	0
vhcG	5	0	2	2	0	0
