Gene	F01	F02	F03	F04	F05	F06	Annotation	Pathways
acuI	47	46	38	26	19	17	Acrylyl-CoA reductase AcuI	Organic sulfur transformation
acuK	2	0	0	0	0	0	Enoyl-CoA hydratase/isomerases AcuK	Organic sulfur transformation
acuN	0	3	1	0	0	0	CoA-transferase family III AcuN	Organic sulfur transformation
aprA	10	16	13	15	16	23	Adenylylsulfate reductase, subunit A	Dissimilatory sulfur reduction and oxidation
aprB	1	1	5	3	3	1	Adenylylsulfate reductase, subunit B	Dissimilatory sulfur reduction and oxidation
asrA	12	7	7	4	9	18	Anaerobic sulfite reductase subunit A	Sulfur reduction
asrB	3	2	3	9	8	17	Anaerobic sulfite reductase subunit B	Sulfur reduction
asrC	3	5	8	11	17	22	Anaerobic sulfite reductase subunit C	Sulfur reduction
betA	78	53	49	38	49	71	Oxygen-dependent choline dehydrogenase	Organic sulfur transformation
betB	77	64	56	59	66	76	NAD/NADP-dependent betaine aldehyde dehydrogenase	Organic sulfur transformation
betC	52	27	27	51	52	51	Choline-sulfatase	Organic sulfur transformation
comA	1	1	1	3	5	4	Phosphosulfolactate synthase	Organic sulfur transformation
comB	14	10	10	16	12	11	2-phosphosulfolactate phosphatase	Organic sulfur transformation
comC	9	3	1	5	8	6	L-sulfolactate dehydrogenase	Organic sulfur transformation
comD	6	10	1	4	2	1	Sulfopyruvate decarboxylase subunit alpha	Organic sulfur transformation
comE	12	13	6	13	7	8	Sulfopyruvate decarboxylase subunit beta	Organic sulfur transformation
cuyA	22	14	13	12	14	16	L-cysteate sulfo-lyase	Link between inorganic and organic sulfur transformation
cysA	57	39	29	42	36	44	Sulfate/thiosulfate import ATP-binding protein CysA	Others
cysC	172	143	138	122	122	121	Adenylylsulfate kinase	Assimilatory sulfate reduction
cysD	31	28	30	24	24	17	Sulfate adenylyltransferase subunit 2	Assimilatory sulfate reduction
cysE	36	37	37	50	69	91	Serine O-acetyltransferase	Link between inorganic and organic sulfur transformation
cysH	19	13	10	15	9	11	Phosphoadenosine phosphosulfate reductase	Assimilatory sulfate reduction
cysI	10	10	14	16	30	32	Sulfite reductase (NADPH) hemoprotein beta-component	Assimilatory sulfate reduction
cysJ	75	77	53	72	79	101	Sulfite reductase (NADPH) flavoprotein alpha-component	Assimilatory sulfate reduction
cysK	175	160	126	122	161	155	Cysteine synthase	Link between inorganic and organic sulfur transformation
cysM	59	49	54	55	45	58	Cysteine synthase	Link between inorganic and organic sulfur transformation
cysN	46	37	29	31	37	47	Sulfate adenylyltransferase subunit 1	Assimilatory sulfate reduction
cysN_cysC	46	39	33	44	60	59	Bifunctional enzyme CysN/CysC	Assimilatory sulfate reduction
cysP	29	13	13	15	16	26	Thiosulfate-binding protein	Others
cysQ	45	32	22	19	19	25	3'(2'), 5'-bisphosphate nucleotidase	Assimilatory sulfate reduction
cysU	75	52	58	39	50	60	Sulfate transport system permease protein CysT	Others
cysW	7	7	4	8	4	7	Sulfate transport system permease protein CysW	Others
cysZ	14	10	7	7	3	3	Sulfate transporter CysZ	Others
dddD	3	0	0	0	1	0	CoA-transferase/lyase DddD	Organic sulfur transformation
dddP	39	19	12	19	22	27	Dimethlysulfonioproprionate lyase DddP	Organic sulfur transformation
dddQ	2	1	0	1	0	1	Dimethlysulfonioproprionate lyase DddQ	Organic sulfur transformation
dddT	7	5	2	1	0	0	Betaine/carnitine/choline transporter DddT	Organic sulfur transformation
dddW	1	1	0	1	1	1	Dimethlysulfonioproprionate lyase DddW	Organic sulfur transformation
ddhA	3	4	6	4	7	4	Dimethylsulfide dehydrogenase subunit alpha	Organic sulfur transformation
ddhC	5	3	6	1	1	0	Dimethylsulfide dehydrogenase subunit gamma	Organic sulfur transformation
dmdA	23	20	16	13	4	7	Dimethylsulfoniopropionate demethylase	Organic sulfur transformation
dmdB	53	48	42	39	38	34	3-(methylthio)propionyl---CoA ligase	Organic sulfur transformation
dmdC	83	69	71	79	71	79	3-(methylthio)propanoyl-CoA dehydrogenase	Organic sulfur transformation
dmdD	31	29	28	29	13	16	(methylthio)acryloyl-CoA hydratase	Organic sulfur transformation
dmoA	2	1	1	1	1	0	dimethyl-sulfide monooxygenase	Organic sulfur transformation
dmsA	73	93	78	103	82	85	Anaerobic dimethyl sulfoxide reductase subunit A	Organic sulfur transformation
dmsB	8	12	15	15	18	30	Anaerobic dimethyl sulfoxide reductase subunit B	Organic sulfur transformation
dmsC	17	16	17	12	12	13	Anaerobic dimethyl sulfoxide reductase subunit C	Organic sulfur transformation
dsrA	6	5	7	13	13	18	Dissimilatory sulfite reductase alpha subunit	Dissimilatory sulfur reduction and oxidation
dsrB	3	3	5	5	8	7	Dissimilatory sulfite reductase beta subunit	Dissimilatory sulfur reduction and oxidation
dsrC	0	0	0	0	6	2	Dissimilatory sulfite reductase related protein	Dissimilatory sulfur reduction and oxidation
dsrD	0	0	0	0	1	0	Protein DsrD	Dissimilatory sulfur reduction and oxidation
dsrE	2	2	1	0	0	0	Sulfurtransferase	Dissimilatory sulfur reduction and oxidation
dsrF	2	3	1	0	0	0	Intracellular sulfur oxidation protein	Dissimilatory sulfur reduction and oxidation
dsrH	2	1	1	0	1	0	Intracellular sulfur oxidation protein	Dissimilatory sulfur reduction and oxidation
dsrJ	1	0	2	3	4	0	Protein DsrJ	Dissimilatory sulfur reduction and oxidation
dsrK	0	0	5	7	9	10	Protein DsrK	Dissimilatory sulfur reduction and oxidation
dsrL	0	1	1	3	0	1	Protein DsrL	Dissimilatory sulfur reduction and oxidation
dsrM	2	2	1	3	4	6	Protein DsrM	Dissimilatory sulfur reduction and oxidation
dsrN	3	2	5	1	6	3	Protein DsrN	Dissimilatory sulfur reduction and oxidation
dsrO	0	0	2	0	0	0	Protein DsrO	Dissimilatory sulfur reduction and oxidation
dsrP	0	0	2	2	9	4	Protein DsrP	Dissimilatory sulfur reduction and oxidation
dsrT	0	0	0	1	1	0	Protein DsrT	Dissimilatory sulfur reduction and oxidation
dsyB	10	12	7	9	12	4	DsyB	Organic sulfur transformation
fccA	3	3	2	0	0	0	Cytochrome subunit of sulfide dehydrogenase	Sulfur oxidation
fccB	2	1	3	3	2	3	Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain	Sulfur oxidation
fsr	0	0	0	1	0	1	Sulfite reductase (coenzyme F420)	Sulfur reduction
gdh	22	24	24	27	30	22	Glutamate dehydrogenase (NADP+)	Organic sulfur transformation
glpE	126	112	75	88	88	100	Thiosulfate sulfurtransferase	Sulfur oxidation
hdrA1	1	7	14	20	38	42	heterodisulfide reductase subunit A1	Link between inorganic and organic sulfur transformation
hdrA2	4	4	13	18	50	66	heterodisulfide reductase subunit A2	Link between inorganic and organic sulfur transformation
hdrB1	1	1	3	3	11	16	heterodisulfide reductase subunit B1	Link between inorganic and organic sulfur transformation
hdrB2	2	2	3	11	12	11	heterodisulfide reductase subunit B2	Link between inorganic and organic sulfur transformation
hdrC1	0	0	2	2	2	3	heterodisulfide reductase subunit C1	Link between inorganic and organic sulfur transformation
hdrC2	0	0	1	11	10	21	heterodisulfide reductase subunit C2	Link between inorganic and organic sulfur transformation
hdrD	6	11	13	29	41	42	heterodisulfide reductase subunit D	Link between inorganic and organic sulfur transformation
hdrE	1	1	0	1	0	1	heterodisulfide reductase subunit E	Link between inorganic and organic sulfur transformation
hpsK	6	3	1	3	7	5	Dihydroxypropanesulfonate transporter	Others
hpsL	5	2	2	2	4	3	Dihydroxypropanesulfonate transporter	Others
hpsM	10	5	6	4	7	6	Dihydroxypropanesulfonate transporter	Others
hpsN	6	11	3	8	7	10	Sulfopropanediol 3-dehydrogenase	Organic sulfur transformation
hpsO	10	6	3	3	4	3	R or S-dihydroxypropanesulfonate-2-dehydrogenase	Organic sulfur transformation
hpsP	27	19	18	25	52	62	R or S-dihydroxypropanesulfonate-2-dehydrogenase	Organic sulfur transformation
hydA	0	0	1	1	2	6	Sulfhydrogenase subunit alpha	Sulfur reduction
hydB	0	1	2	0	3	3	Sulfhydrogenase subunit beta (sulfur reductase)	Sulfur reduction
hydD	0	0	1	0	10	15	Sulfhydrogenase subunit delta	Sulfur reduction
iseM	33	15	7	17	27	32	Isethionate TRAP transporter	Others
isfD	47	23	22	20	22	22	Sulfoacetaldehyde reductase	Organic sulfur transformation
mccB	5	5	7	3	4	0	Cystathionine gamma-lyase / homocysteine desulfhydrase	Link between inorganic and organic sulfur transformation
mddA	12	5	9	4	2	6	Methanethiol S-methyltransferase	Organic sulfur transformation
mdh	115	130	107	125	155	163	Malate dehydrogenase	Organic sulfur transformation
metA	5	4	2	2	2	3	Homoserine O-succinyltransferase/ O-acetyltransferase	Link between inorganic and organic sulfur transformation
metB	39	40	28	22	48	34	Cystathionine gamma-synthase	Link between inorganic and organic sulfur transformation
metC	66	56	50	60	53	52	Cystathionine beta-lyase	Link between inorganic and organic sulfur transformation
metX	6	16	8	12	15	13	Homoserine O-acetyltransferase/O-succinyltransferase	Link between inorganic and organic sulfur transformation
metY	12	9	5	16	20	17	O-acetyl-L-homoserine sulfhydrylase	Link between inorganic and organic sulfur transformation
metZ	41	48	26	34	37	35	O-succinylhomoserine sulfhydrylase	Link between inorganic and organic sulfur transformation
msmA	13	3	3	1	1	1	Methanesulfonate monooxygenase subunit alpha	Link between inorganic and organic sulfur transformation
mtoX	0	1	1	0	0	0	Methanethiol oxidase	Link between inorganic and organic sulfur transformation
mtsA	0	1	1	5	8	6	Methylthiol:coenzyme M methyltransferase	Organic sulfur transformation
mtsB	3	10	18	33	50	63	Methylated-thiol--corrinoid protein	Organic sulfur transformation
nrnA	19	19	14	23	29	38	Bifunctional oligoribonuclease and PAP phosphatase NrnA	Assimilatory sulfate reduction
otr	3	4	0	0	2	1	Octaheme tetrathionate reductase Otr	Sulfur reduction
phsA	2	6	4	7	7	1	Thiosulfate reductase	Sulfur disproportionation
phsB	2	3	0	0	0	1	Thiosulfate reductase electron transport protein	Sulfur disproportionation
phsC	0	3	0	0	0	0	Thiosulfate reductase cytochrome b subunit	Sulfur disproportionation
prpE	40	41	31	24	22	20	Propionate--CoA ligase	Organic sulfur transformation
psrA	0	0	0	0	2	0	Polysulfide reductase chain A	Sulfur reduction
psrB	0	0	0	0	0	0	Polysulfide reductase chain B	Sulfur reduction
psrC	3	5	0	3	4	4	Polysulfide reductase chain C	Sulfur reduction
pta	61	52	52	48	84	90	Phosphate acetyltransferase	Organic sulfur transformation
