Gene	Annotation	Pathways
cysC	Adenylylsulfate kinase	Assimilatory sulfate reduction
cysD	Sulfate adenylyltransferase subunit 2	Assimilatory sulfate reduction
cysH	Phosphoadenosine phosphosulfate reductase	Assimilatory sulfate reduction
cysI	Sulfite reductase (NADPH) hemoprotein beta-component	Assimilatory sulfate reduction
cysJ	Sulfite reductase (NADPH) flavoprotein alpha-component	Assimilatory sulfate reduction
cysN	Sulfate adenylyltransferase subunit 1	Assimilatory sulfate reduction
cysN_cysC	Bifunctional enzyme CysN/CysC	Assimilatory sulfate reduction
cysNC	Bifunctional enzyme CysN/CysC	Assimilatory sulfate reduction
cysQ	3'(2'), 5'-bisphosphate nucleotidase	Assimilatory sulfate reduction
nrnA	Bifunctional oligoribonuclease and PAP phosphatase NrnA	Assimilatory sulfate reduction
sat	Sulfate adenylyltransferase	Assimilatory sulfate reduction
sir	Sulfite reductase (ferredoxin)	Assimilatory sulfate reduction
aprA	Adenylylsulfate reductase, subunit A	Dissimilatory sulfur reduction and oxidation
aprB	Adenylylsulfate reductase, subunit B	Dissimilatory sulfur reduction and oxidation
dsrA	Dissimilatory sulfite reductase alpha subunit	Dissimilatory sulfur reduction and oxidation
dsrB	Dissimilatory sulfite reductase beta subunit	Dissimilatory sulfur reduction and oxidation
dsrC	Dissimilatory sulfite reductase related protein	Dissimilatory sulfur reduction and oxidation
dsrD	Protein DsrD	Dissimilatory sulfur reduction and oxidation
dsrE	Sulfurtransferase	Dissimilatory sulfur reduction and oxidation
dsrF	Intracellular sulfur oxidation protein	Dissimilatory sulfur reduction and oxidation
dsrH	Intracellular sulfur oxidation protein	Dissimilatory sulfur reduction and oxidation
dsrJ	Protein DsrJ	Dissimilatory sulfur reduction and oxidation
dsrK	Protein DsrK	Dissimilatory sulfur reduction and oxidation
dsrL	Protein DsrL	Dissimilatory sulfur reduction and oxidation
dsrM	Protein DsrM	Dissimilatory sulfur reduction and oxidation
dsrN	Protein DsrN	Dissimilatory sulfur reduction and oxidation
dsrO	Protein DsrO	Dissimilatory sulfur reduction and oxidation
dsrP	Protein DsrP	Dissimilatory sulfur reduction and oxidation
dsrT	Protein DsrT	Dissimilatory sulfur reduction and oxidation
qmoA	Quinone-modifying oxidoreductase, subunit QmoA	Dissimilatory sulfur reduction and oxidation
qmoB	Quinone-modifying oxidoreductase, subunit QmoB	Dissimilatory sulfur reduction and oxidation
qmoC	Quinone-modifying oxidoreductase, subunit QmoC	Dissimilatory sulfur reduction and oxidation
rdsr	Reverse dissimilatory sulfite reductase	Dissimilatory sulfur reduction and oxidation
sat	Sulfate adenylyltransferase	Dissimilatory sulfur reduction and oxidation
asrA	Anaerobic sulfite reductase subunit A	Sulfur reduction
asrB	Anaerobic sulfite reductase subunit B	Sulfur reduction
asrC	Anaerobic sulfite reductase subunit C	Sulfur reduction
fsr	Sulfite reductase (coenzyme F420)	Sulfur reduction
hydA	Sulfhydrogenase subunit alpha	Sulfur reduction
hydB	Sulfhydrogenase subunit beta (sulfur reductase)	Sulfur reduction
hydD	Sulfhydrogenase subunit delta	Sulfur reduction
hydG	Sulfhydrogenase subunit gamma (sulfur reductase)	Sulfur reduction
mccA	Dissimilatory sulfite reductase	Sulfur reduction
otr	Octaheme tetrathionate reductase Otr	Sulfur reduction
psrA	Polysulfide reductase chain A	Sulfur reduction
psrB	Polysulfide reductase chain B	Sulfur reduction
psrC	Polysulfide reductase chain C	Sulfur reduction
rdlA	Putative rhodanese-like protein	Sulfur reduction
shyA	Sulfhydrogenase 2 subunit alpha	Sulfur reduction
shyB	Sulfhydrogenase 2 subunit beta	Sulfur reduction
shyC	Sulfhydrogenase 2 subunit gamma	Sulfur reduction
shyD	Sulfhydrogenase 2 subunit delta	Sulfur reduction
sreA	Sulfur reductase molybdopterin subunit	Sulfur reduction
sreB	Sulfur reductase FeS subunit	Sulfur reduction
sreC	Sulfur reductase membrane anchor	Sulfur reduction
sudA	Sulfide dehydrogenase subunit alpha	Sulfur reduction
sudB	Sulfide dehydrogenase subunit beta	Sulfur reduction
ttrA	Tetrathionate reductase subunit A	Sulfur reduction
ttrB	Tetrathionate reductase subunit B	Sulfur reduction
ttrC	Tetrathionate reductase subunit C	Sulfur reduction
soxA	L-cysteine S-thiosulfotransferase	SOX systems
soxB	S-sulfosulfanyl-L-cysteine sulfohydrolase	SOX systems
soxC	Sulfane dehydrogenase subunit SoxC	SOX systems
soxD	S-disulfanyl-L-cysteine oxidoreductase SoxD	SOX systems
soxX	L-cysteine S-thiosulfotransferase	SOX systems
soxY	Sulfur-oxidizing protein SoxY	SOX systems
soxZ	Sulfur-oxidizing protein SoxZ	SOX systems
doxA	thiosulfate dehydrogenase [quinone] small subunit	Sulfur oxidation
doxD	thiosulfate dehydrogenase [quinone] large subunit	Sulfur oxidation
fccA	Cytochrome subunit of sulfide dehydrogenase	Sulfur oxidation
fccB	Sulfide dehydrogenase [flavocytochrome c] flavoprotein chain	Sulfur oxidation
glpE	Thiosulfate sulfurtransferase	Sulfur oxidation
soeA	Sulfite dehydrogenase (quinone) subunit SoeA	Sulfur oxidation
soeB	Sulfite dehydrogenase (quinone) subunit SoeB	Sulfur oxidation
soeC	Sulfite dehydrogenase (quinone) subunit SoeC	Sulfur oxidation
sorA	Sulfite cytochrome c oxidoreductase-subunitA	Sulfur oxidation
sorB	Sulfite cytochrome c oxidoreductase-subunitB	Sulfur oxidation
sqr	Sulfide:quinone oxidoreductase	Sulfur oxidation
sseA	Thiosulfate sulfurtransferase	Sulfur oxidation
tsdA	Thiosulfate dehydrogenase	Sulfur oxidation
tsdB	Thiosulfate dehydrogenase electron acceptor	Sulfur oxidation
phsA	Thiosulfate reductase	Sulfur disproportionation
phsB	Thiosulfate reductase electron transport protein	Sulfur disproportionation
phsC	Thiosulfate reductase cytochrome b subunit	Sulfur disproportionation
tetH	Tetrathionate hydrolase TetH	Sulfur disproportionation
sor	Sulfur oxygenase/reductase	Sulfur disproportionation
acuI	Acrylyl-CoA reductase AcuI	Organic sulfur transformation
acuK	Enoyl-CoA hydratase/isomerases AcuK	Organic sulfur transformation
acuN	CoA-transferase family III AcuN	Organic sulfur transformation
betA	Oxygen-dependent choline dehydrogenase	Organic sulfur transformation
betB	NAD/NADP-dependent betaine aldehyde dehydrogenase	Organic sulfur transformation
betC	Choline-sulfatase	Organic sulfur transformation
comA	Phosphosulfolactate synthase	Organic sulfur transformation
comB	2-phosphosulfolactate phosphatase	Organic sulfur transformation
comC	L-sulfolactate dehydrogenase	Organic sulfur transformation
comD	Sulfopyruvate decarboxylase subunit alpha	Organic sulfur transformation
comE	Sulfopyruvate decarboxylase subunit beta	Organic sulfur transformation
dddA	Glucose-methanol-choline flavoprotein oxido-reductases DddA	Organic sulfur transformation
dddC	NADP-containing dehydrogenases DddC	Organic sulfur transformation
dddD	CoA-transferase/lyase DddD	Organic sulfur transformation
dddK	Dimethlysulfonioproprionate lyase	Organic sulfur transformation
dddL	Dimethlysulfonioproprionate lyase	Organic sulfur transformation
dddP	Dimethlysulfonioproprionate lyase DddP	Organic sulfur transformation
