Id,Label,timeset,att1,att2,att3,isometric_z_value,splitter_z_value,eigencentrality,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,modularity_class
1,Acidobacteriota,,91527a04674331cadc2106987c498dbd,Acidobacteriota,M21,0,0,0.000347,1,0.740383,1,1,1,0,0,0,0,8
2,Crenarchaeota,,2f69ac8e8c691012056ab51639a71076,Crenarchaeota,M1,0,0,0.34265,32,25.956863,11,0.232544,0.325921,633.912668,1,0.677419,336,16
3,Planctomycetota,,6bf3fb3f132d34c026f1cfc220395a92,Planctomycetota,M1,0,0,0.049619,4,3.013958,11,0.207568,0.251834,0,1,1,6,16
4,Patescibacteria,,35633d5a9c7b3f9f6f5cec355ce9eda1,Patescibacteria,M3,0,0,0.001194,2,1.497269,12,0.121459,0.138221,0,1,1,1,24
5,Actinobacteriota,,b04113b8b29c400623857204207d2119,Actinobacteriota,M7,0,0,0.010778,3,2.2908,11,0.181951,0.224401,59.609579,1,0.333333,1,6
6,Crenarchaeota,,1c2cdc8745af320386b48e6eb3a6c00d,Crenarchaeota,M2,0,0,0.663964,34,27.108842,9,0.260293,0.354945,1000.212196,1,0.643494,361,14
7,Crenarchaeota,,03b13d1b0e0579f3581f62a591f8a173,Crenarchaeota,M4,0,0,0.00312,3,2.289656,12,0.180805,0.210167,0,1,1,3,29
8,Planctomycetota,,b16246bc2d0a9dceaab1a68b29097add,Planctomycetota,M4,0,0,0.000923,1,0.730687,12,0.166592,0.186571,0,1,0,0,29
9,Proteobacteria,,799930d270c4570fa57280a097f4feb7,Proteobacteria,M2,0,0,0.456714,30,23.77226,10,0.236825,0.330163,1939.320348,1,0.629885,274,14
10,Crenarchaeota,,bb39102d0f542c94ab218b9832ae66bb,Crenarchaeota,M7,0,0,0.002927,4,3.063318,13,0.143241,0.172174,1.666667,1,0.5,3,6
11,Planctomycetota,,d6a0ab0cf3489241b197514473284211,Planctomycetota,M4,0,0,0.01702,9,7.111216,11,0.199465,0.240603,30.566094,1,0.888889,32,29
12,Crenarchaeota,,c2b57adcaa77c6f5382a763dedf893de,Crenarchaeota,M1,0,0,0.258789,24,18.651717,10,0.252368,0.328104,587.686025,1,0.65942,182,16
13,Acidobacteriota,,6cf11f1cc54acc15e0a9c5bb54ef11eb,Acidobacteriota,M2,0,0,0.058704,7,5.345305,11,0.195903,0.250779,120.700744,1,0.666667,14,14
14,Acidobacteriota,,19bed790cbf6e9906fa478685b1267cf,Acidobacteriota,M5,0,0,0.00329,6,4.656245,5,0.385965,0.524242,76.583333,2,0.466667,7,10
15,Chloroflexi,,2d4415160af1bcb86fc109485945b3fc,Chloroflexi,M1,0,0,0.020207,5,3.998182,13,0.166221,0.214737,0.166667,1,0.9,9,16
16,Planctomycetota,,9dde4de9143a4d942f4a994defbb1518,Planctomycetota,M3,0,0,0.001549,2,1.455431,8,0.200862,0.220666,1280.605149,1,0,0,24
17,Proteobacteria,,3954ec2b691434d22b3287f3e936c318,Proteobacteria,M33,0,0,0.000347,1,0.813157,1,1,1,0,3,0,0,0
18,Nanoarchaeota,,0969b73913bcb837f5a1223875557896,Nanoarchaeota,M3,0,0,0.000536,1,0.754091,13,0.108588,0.12096,0,1,0,0,24
19,Proteobacteria,,367133d81c6663052de80d024e879ea4,Proteobacteria,M33,0,0,0.000347,1,0.813157,1,1,1,0,3,0,0,0
20,Actinobacteriota,,28356b162785d6d42083128438acfff5,Actinobacteriota,M1,0,0,0.178506,21,16.390859,9,0.288031,0.358998,872.58138,1,0.561905,118,21
21,Patescibacteria,,1306a1a50780fbdebed9c968b2e99757,Patescibacteria,M5,0,0,0.003198,6,4.739626,6,0.314286,0.478788,24.5,2,0.4,6,10
22,Hadarchaeota,,34f7b4dcd4308f2db02918e5469805da,Hadarchaeota,M1,0,0,0.37285,35,27.995055,10,0.264727,0.357611,3170.045451,1,0.588235,350,16
23,Patescibacteria,,cb10fdd95b4e76ff962728c650f7133d,Patescibacteria,M3,0,0,0.00209,4,3.009278,10,0.157185,0.179532,1919,1,0.166667,1,24
24,Proteobacteria,,c34bdd87c817268d532a0a70aa880434,Proteobacteria,M5,0,0,0.001263,3,2.440199,5,0.333333,0.418182,59,2,0,0,10
25,Acidobacteriota,,ccdf7c7c6105e2352c9d53ba327ffb39,Acidobacteriota,M1,0,0,0.109928,16,12.509809,12,0.195493,0.268118,114.223308,1,0.491667,59,16
26,Crenarchaeota,,2e86cd74b89e10b6968e790f5f04f196,Crenarchaeota,M2,0,0,0.442817,28,22.016271,10,0.233417,0.321989,441.334169,1,0.701058,265,14
27,Asgardarchaeota,,60d583a32e93437d578ee6807650b6b7,Asgardarchaeota,M18,0,0,0.00039,1,0.80174,2,0.666667,0.75,0,4,0,0,18
28,Firmicutes,,7edc1e8b48a3c687875d2b1fae6a5f70,Firmicutes,M6,0,0,0.004371,6,4.836168,11,0.19089,0.22204,657.272683,1,0.6,9,22
29,Iainarchaeota,,d6d9eca1bc3d6f6df0ca7d420f03f7ca,Iainarchaeota,M15,0,0,0.00089,2,1.61995,2,0.75,0.833333,0,5,1,1,35
30,Acidobacteriota,,440a2a75e951ec78633ca2b0099c664d,Acidobacteriota,M26,0,0,0.000347,1,0.750406,1,1,1,0,6,0,0,1
31,Halobacterota,,1c72c84d1b8da4ccaf0dd293646d367e,Halobacterota,M1,0,0,0.064696,8,6.070956,9,0.256181,0.304718,8.124142,1,0.928571,26,21
32,Proteobacteria,,8a155b78daf709320ea9aaa994b1b9c4,Proteobacteria,M2,0,0,0.760754,43,33.731554,9,0.260475,0.364328,1110.33628,1,0.535991,484,14
33,Asgardarchaeota,,874f6dda5d3c28802de3f685c4b20723,Asgardarchaeota,M3,0,0,0.000536,1,0.728575,13,0.108588,0.12096,0,1,0,0,24
34,Crenarchaeota,,090fa54b243e85f77c5bd5720a0fcc91,Crenarchaeota,M2,0,0,0.325757,21,16.007222,9,0.271866,0.344802,545.413313,1,0.595238,125,14
35,Crenarchaeota,,944760973feb9b0d4daa49878ed69834,Crenarchaeota,M2,0,0,0.351065,22,16.86495,10,0.230389,0.309523,413.075277,1,0.74026,171,14
36,Proteobacteria,,bad5ca045c5406e8e871a732a473c057,Proteobacteria,M2,0,0,1,61,49.169861,9,0.26681,0.394266,2086.666023,1,0.421858,772,14
37,Bacteroidota,,e90b1319413c7142d85b2dbfa2818006,Bacteroidota,M4,0,0,0.000399,1,0.741126,14,0.130374,0.142757,0,1,0,0,29
38,Nanoarchaeota,,b780b6a5a77fb160243cb70682b22b92,Nanoarchaeota,M19,0,0,0.000347,1,0.734931,1,1,1,0,7,0,0,11
39,Spirochaetota,,fc211a270609b8f2afb0f064e7848df0,Spirochaetota,M1,0,0,0.058846,9,6.736711,10,0.238034,0.285161,3.51955,1,0.75,27,21
40,Modulibacteria,,09d785955670d9009e8353d5c7ae24a5,Modulibacteria,M3,0,0,0.001656,4,2.951708,9,0.170242,0.187723,1113.333333,1,0,0,24
41,Planctomycetota,,863c43ce5cfe037fe877c0d7aa51f47e,Planctomycetota,M4,0,0,0.018052,12,9.242749,12,0.18548,0.231669,380.920106,1,0.621212,41,29
42,Elusimicrobiota,,b4dc65afc6d162ee8a7188a82d6483aa,Elusimicrobiota,M1,0,0,0.082959,7,5.195593,12,0.191872,0.245553,0,1,1,21,16
43,Asgardarchaeota,,8751e962de138a5d1fa6133f2267b37a,Asgardarchaeota,M1,0,0,0.115494,12,8.859847,11,0.217874,0.280645,113.88562,1,0.590909,39,16
44,Crenarchaeota,,601751b882522aa0f5981d4b58b067dd,Crenarchaeota,M2,0,0,0.219061,16,12.165747,10,0.228135,0.297991,652.367524,1,0.591667,71,14
45,Proteobacteria,,019d02a9a802b5aff7c01ff642386712,Proteobacteria,M1,0,0,0.176965,22,17.042871,9,0.277736,0.348211,1203.694872,1,0.415584,96,21
46,Asgardarchaeota,,9e24eb7a415db9a59586d17d0f49cbea,Asgardarchaeota,M1,0,0,0.263647,34,26.558931,9,0.300806,0.386638,4979.695976,1,0.461676,259,21
47,Asgardarchaeota,,b87595fd0fc5dbf7298b9ca6670ba75c,Asgardarchaeota,M13,0,0,0.000742,2,1.523546,2,0.75,0.833333,2,8,0,0,28
48,Patescibacteria,,a9919313344aca288c3030dc632823b1,Patescibacteria,M2,0,0,0.210177,15,11.33448,10,0.219025,0.294805,951.057729,1,0.52381,55,14
49,Crenarchaeota,,5179960239613d4c220e889075c6773e,Crenarchaeota,M2,0,0,0.427993,22,17.373501,9,0.266049,0.340046,59.307757,1,0.865801,200,14
50,Crenarchaeota,,2ba56e5ede71fa3423538b2f86c70eea,Crenarchaeota,M8,0,0,0.001364,1,0.770895,12,0.162103,0.189229,0,1,0,0,31
51,Proteobacteria,,24b895b95401743e1cf070502d07d21a,Proteobacteria,M2,0,0,0.017568,1,0.774073,11,0.192466,0.234246,0,1,0,0,14
52,Crenarchaeota,,e01428a7976b5a7761e6653e05ed5c9f,Crenarchaeota,M2,0,0,0.028839,6,4.547488,10,0.219412,0.26363,534.750926,1,0.266667,4,14
53,Dadabacteria,,900fd7970e61cb86bc438f8fc92aeb39,Dadabacteria,M2,0,0,0.000937,1,0.792371,12,0.158521,0.180277,0,1,0,0,14
54,Nanoarchaeota,,645e259ca9faaab2eb5b58196d6af305,Nanoarchaeota,M14,0,0,0.000838,2,1.589629,2,0.75,0.833333,0,9,1,1,2
55,Crenarchaeota,,dccbdc1d18841d8ac5995ff494cfa777,Crenarchaeota,M2,0,0,0.770357,41,32.129535,9,0.261388,0.363881,449.995739,1,0.579268,475,14
56,Crenarchaeota,,f0d643ec2f15cee88500c0a220ed0794,Crenarchaeota,M2,0,0,0.460726,24,18.673287,9,0.267001,0.344068,79.060626,1,0.822464,227,14
57,Proteobacteria,,60806fb9699dab85c00ef6b361b9ebc9,Proteobacteria,M4,0,0,0.000767,2,1.497984,13,0.146735,0.161856,372,1,0,0,29
58,Crenarchaeota,,c623d51c0e0eac4586d3c3758b2c6003,Crenarchaeota,M8,0,0,0.004213,3,2.455115,12,0.164245,0.197866,0,1,1,3,31
59,Crenarchaeota,,a68edef56168b9f7994192379dc86d15,Crenarchaeota,M7,0,0,0.004906,3,2.213033,12,0.165778,0.202691,64.674119,1,0.666667,2,6
60,Proteobacteria,,b9a06c9f9e88b36eefbf81321fe76523,Proteobacteria,M10,0,0,0.000483,1,0.744876,2,0.571429,0.625,0,10,0,0,30
61,Proteobacteria,,ef89014b4ced7835c799815033386885,Proteobacteria,M11,0,0,0.000884,2,1.654166,2,0.666667,0.75,0,11,1,1,12
62,Aerophobota,,8de958a1bc9a4b412102dac138c2f301,Aerophobota,M1,0,0,0.008803,2,1.447117,10,0.226198,0.258134,0,1,1,1,21
63,Patescibacteria,,cc228bc450bebf9c2cb9e673795ae580,Patescibacteria,M6,0,0,0.000885,1,0.756222,12,0.160637,0.17865,0,1,0,0,22
64,Aerophobota,,2eadf546d88cd718beb2594a82ba0af2,Aerophobota,M26,0,0,0.000347,1,0.750406,1,1,1,0,6,0,0,1
65,Proteobacteria,,ffdd694ec0a5f51dbfae7b50d05d1545,Proteobacteria,M2,0,0,0.048015,5,3.675624,9,0.236825,0.282904,601.266637,1,0.3,3,14
66,Patescibacteria,,5225f4abf309e22ec2d9464e5fae0de9,Patescibacteria,M6,0,0,0.002273,3,2.268523,11,0.181597,0.205168,0,1,1,3,22
67,Nanoarchaeota,,79518da8c4fb1f65513fc21c8d7970ed,Nanoarchaeota,M31,0,0,0.000347,1,0.789009,1,1,1,0,12,0,0,4
68,Methylomirabilota,,60ca226836fe7830d34506f42039a557,Methylomirabilota,M4,0,0,0.00839,2,1.473208,11,0.20838,0.245052,0,1,1,1,29
69,Chloroflexi,,bb8421d40ad8ab84faf2503cc458634d,Chloroflexi,M1,0,0,0.037664,10,8.294988,12,0.185757,0.244311,338.943392,1,0.622222,28,16
70,Nanoarchaeota,,6d701e21f9fbe3c02777f1c8e8d4bd73,Nanoarchaeota,M16,0,0,0.00039,1,0.764095,2,0.666667,0.75,0,13,0,0,15
71,Thermoplasmatota,,f622554cbfaef92dae72a49e7e28659b,Thermoplasmatota,M1,0,0,0.012177,1,0.766334,12,0.183563,0.224842,0,1,0,0,16
